|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
0|Should|I|buy|a|car|thank|you|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1|can|i|buy|that|20|dollar|suit|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2|can|you|help|me|on|how|to|spend|on|shopping|things|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3|help|me|with|some|spending|advice|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4|help|me|on|how|to|spend|money|on|shopping|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5|I|want|to|go|out|with|my|friends|and|drop|about|200|dollars|on|dinner|can|I|afford|that|?|0.0|0.0|0.0|0.0|0.0
6|I|want|to|buy|a|400|dollar|watch|,|should|I|buy|that|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7|I|am|looking|to|get|some|spending|advice|,|can|you|help|me|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8|How|would|you|ask|for|spending|advice|on|what|you|want|.|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9|i|am|looking|to|get|some|spending|activites|can|you|help|me|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
10|I|want|to|buy|a|500|dollar|watch|,|can|you|help|me|to|buy|that|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11|I|am|looking|to|buy|some|new|trend|of|watch|,|can|you|help|me|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12|i|want|to|buy|a|100|dollar|shoe|,|should|i|buy|that|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
13|i|want|to|buy|150|dollar|clothes|in|amazon|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
14|i|want|to|go|out|with|my|family|how|much|can|i|spend|on|food|and|drinks|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
15|I|want|to|buy|a|500|dollar|television|,|should|I|buy|that|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
16|I|want|to|buy|a|700|dollar|watch|,|should|I|buy|that|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
17|Is|750|a|good|price|for|a|60|inch|tv|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
18|Should|i|pay|forty|dollars|for|lawn|mowing|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
19|Is|200|dollars|a|good|price|for|a|coach|purse|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
