,utterance,intent
0,later,clean_goodbye_start
1,bye,clean_goodbye_start
2,goodbye,clean_goodbye_start
3,so long,clean_goodbye_start
4,see you later,clean_goodbye_start
5,hello,clean_hello_start
6,good day,clean_hello_start
7,hi,clean_hello_start
8,suh,clean_hello_start
9,hello friend,clean_hello_start
10,Check the Balance Online,get_balance_start
11,How much money is left in account Y?,get_balance_start
12,Check my bank balance,get_balance_start
13,Can you tell me my balance?,get_balance_start
14,What's the amount of money I have?,get_balance_start
15,what is the balance,get_balance_start
16,how much in my account,get_balance_start
17,Do I have more than $100.00 in my account?,get_balance_start
18,Please give me the balances of my accounts.,get_balance_start
19,Does my savings account or checking account have a bigger balance?,get_balance_start
20,What's the balance of my account at Wells Fargo?,get_balance_start
21,yo how much is in chase,get_balance_start
22,how much is in there,get_balance_start
23,give me info on my balances,get_balance_start
24,How much is in my checking account?,get_balance_start
25,so what do I have,get_balance_start
26,I would like a full account statement total.,get_balance_start
27,how to retrieve the balance of your my accounts?,get_balance_start
28,balance please,get_balance_start
29,show me the account balance,get_balance_start
30,Please state the balance of joint checking.,get_balance_start
31,how much cash do i have,get_balance_start
32,"What's the amount saying in my ""Work"" checking account?",get_balance_start
33,How is my balance looking for my account 123456789,get_balance_start
34,Tell me my balance,get_balance_start
35,Tell me my checking account balance.,get_balance_start
36,How much is there?,get_balance_start
37,Let me get my balances,get_balance_start
38,can you give me whats left on my account,get_balance_start
39,Please tell my the balances of my accounts.,get_balance_start
40,hi need your help on wanting my balance for account 9994444555 also,get_balance_start
41,What's the total balance I have?,get_balance_start
42,Can you tell me how much money is in my account?,get_balance_start
43,want to know balance info plase.,get_balance_start
44,I need the balance for my account.,get_balance_start
45,"hello, interested in and looking for my balances.",get_balance_start
46,how much cash do i have in savings,get_balance_start
47,have issue tell me more on wanting know my current balances on my accounts for this,get_balance_start
48,How much is the balance for my account?,get_balance_start
49,What money do I have in my account?,get_balance_start
50,right now looking for my balances is happening?,get_balance_start
51,how much do i have left in my accounts,get_balance_start
52,How much is in my bank account?,get_balance_start
53, how much money did i have at the start of the year,get_balance_start
54,I need to check the amount of my account balance.,get_balance_start
55,Can I have my balances?,get_balance_start
56,What is the current balance on my account?,get_balance_start
57,What is my current bank balance?,get_balance_start
58,what i got in my account rn?,get_balance_start
59,How much is in my emergency savings account?,get_balance_start
60,I would like to know my balance.,get_balance_start
61,Is my balance more than $100?,get_balance_start
62,how much do I left in my accounts as of right now,get_balance_start
63,how much money is my balance worth,get_balance_start
64,what's my balance in my account,get_balance_start
65,Please tell me my checking account balance?,get_balance_start
66,How much amount in my savings account.,get_balance_start
67,what is my balance left in my account,get_balance_start
68,Tell me the balance on that bank account,get_balance_start
69,what is my checking account balance as of august this month,get_balance_start
70,What is the bottom line?,get_balance_start
71,how about currently wanting know my current balances on my accounts if possible,get_balance_start
72,account balance is,get_balance_start
73,"I'm unsure if I have enough to buy a new laptop, can you tell me what the account balance is?",get_balance_start
74,How much money is in my checking account?,get_balance_start
75,need to know balance,get_balance_start
76,What’s my current account balance?,get_balance_start
77,Check my total balance,get_balance_start
78,please tell me how much is in my account please,get_balance_start
79,i dropped a bunch of money on clothes last month could you tell me wha my current balance is?,get_balance_start
80,College fund balance please.,get_balance_start
81,"i spent soo much cash, could you tell me whats left in my account?",get_balance_start
82,account balance please,get_balance_start
83,What's my balance,get_balance_start
84,what's the balance?,get_balance_start
85,What's the total in my savings?,get_balance_start
86,i paid for a bunch of stuff can you tell me what my balance is,get_balance_start
87,Check how much is in my checking account at Chase.,get_balance_start
88,Does it look like I have the funds in my account?,get_balance_start
89,Get the balance of my Chase savings account.,get_balance_start
90,i want my account balance,get_balance_start
